头实体,关系,尾实体,证据句
机器学习,属于,人工智能,机器学习是人工智能的重要分支，强调从训练数据中学习规律并完成预测
深度学习,属于,机器学习,深度学习是机器学习的子领域，深度学习通过神经网络自动学习数据特征
深度学习,依赖/通过,神经网络,深度学习是机器学习的子领域，深度学习通过神经网络自动学习数据特征
卷积神经网络,应用于,计算机视觉,卷积神经网络常用于计算机视觉中的图像分类、目标检测和语义分割
计算机视觉,包含,图像分类,卷积神经网络常用于计算机视觉中的图像分类、目标检测和语义分割
计算机视觉,包含,目标检测,卷积神经网络常用于计算机视觉中的图像分类、目标检测和语义分割
计算机视觉,包含,语义分割,卷积神经网络常用于计算机视觉中的图像分类、目标检测和语义分割
循环神经网络,应用于,自然语言处理,循环神经网络曾被广泛用于自然语言处理中的文本分类、机器翻译和自动摘要
自然语言处理,包含,文本分类,循环神经网络曾被广泛用于自然语言处理中的文本分类、机器翻译和自动摘要
自然语言处理,包含,机器翻译,循环神经网络曾被广泛用于自然语言处理中的文本分类、机器翻译和自动摘要
自然语言处理,包含,自动摘要,循环神经网络曾被广泛用于自然语言处理中的文本分类、机器翻译和自动摘要
Transformer,依赖/通过,注意力机制,Transformer通过注意力机制提升自然语言处理效果，并推动大语言模型发展
Transformer,提升,自然语言处理,Transformer通过注意力机制提升自然语言处理效果，并推动大语言模型发展
Transformer,推动,大语言模型,Transformer通过注意力机制提升自然语言处理效果，并推动大语言模型发展
监督学习,使用,标注数据,监督学习使用标注数据训练模型，常见任务包括分类任务和回归预测
监督学习,包括,分类任务,监督学习使用标注数据训练模型，常见任务包括分类任务和回归预测
监督学习,包括,回归预测,监督学习使用标注数据训练模型，常见任务包括分类任务和回归预测
无监督学习,使用,未标注数据,无监督学习使用未标注数据发现隐藏结构，典型任务包括聚类任务
无监督学习,包括,聚类任务,无监督学习使用未标注数据发现隐藏结构，典型任务包括聚类任务
强化学习,依赖/通过,智能体,强化学习通过智能体与环境交互学习策略，在推荐系统和智能决策中具有应用价值
强化学习,应用于,推荐系统,强化学习通过智能体与环境交互学习策略，在推荐系统和智能决策中具有应用价值
强化学习,应用于,智能决策,强化学习通过智能体与环境交互学习策略，在推荐系统和智能决策中具有应用价值
信息抽取,支撑,知识图谱,信息抽取是知识图谱构建的重要基础
信息抽取,包括,实体识别,信息抽取通常包括实体识别和关系抽取
信息抽取,包括,关系抽取,信息抽取通常包括实体识别和关系抽取
关系抽取,挖掘,实体,关系抽取挖掘实体之间的语义关联，并将结果组织为实体、关系、实体组成的三元组
语义关联,组织为,三元组,关系抽取挖掘实体之间的语义关联，并将结果组织为实体、关系、实体组成的三元组
知识图谱,构成,节点,知识图谱由节点和边构成，节点表示实体，边表示关系，属性描述实体的补充信息
知识图谱,构成,边,知识图谱由节点和边构成，节点表示实体，边表示关系，属性描述实体的补充信息
知识图谱,构成,实体,知识图谱由节点和边构成，节点表示实体，边表示关系，属性描述实体的补充信息
知识图谱,构成,关系,知识图谱由节点和边构成，节点表示实体，边表示关系，属性描述实体的补充信息
知识图谱,构成,属性,知识图谱由节点和边构成，节点表示实体，边表示关系，属性描述实体的补充信息
节点,表示,实体,知识图谱由节点和边构成，节点表示实体，边表示关系，属性描述实体的补充信息
属性,描述,实体,知识图谱由节点和边构成，节点表示实体，边表示关系，属性描述实体的补充信息
知识图谱,应用于,智能问答,知识图谱可应用于智能问答、语义检索和推荐系统
知识图谱,应用于,语义检索,知识图谱可应用于智能问答、语义检索和推荐系统
知识图谱,应用于,推荐系统,知识图谱可应用于智能问答、语义检索和推荐系统
参数调优,包括,停用词调整,参数调优主要包括停用词调整、词典扩展、关系规则优化和可视化布局调整
参数调优,包括,词典扩展,参数调优主要包括停用词调整、词典扩展、关系规则优化和可视化布局调整
参数调优,包括,关系规则优化,参数调优主要包括停用词调整、词典扩展、关系规则优化和可视化布局调整
参数调优,包括,可视化布局调整,参数调优主要包括停用词调整、词典扩展、关系规则优化和可视化布局调整
模型训练,依赖,损失函数,模型训练通常依赖损失函数和优化算法，梯度下降是常见优化算法
泛化能力,使用,测试数据,过拟合会降低模型的泛化能力，因此需要使用测试数据进行验证
过拟合,影响,泛化能力,过拟合会降低模型的泛化能力，因此需要使用测试数据进行验证
